sarı|Bitkinizi fazla sulamış olabilirsiniz. Toprağın kurumasını bekleyin ve sulama sıklığını azaltın.
sarar|Bitkinizi fazla sulamış olabilirsiniz. Toprağın kurumasını bekleyin ve sulama sıklığını azaltın.
kuru|Bitkiniz susuz kalmış veya çok fazla doğrudan güneş ışığına maruz kalmış olabilir.
kahverengi|Ortamdaki nem oranı düşük olabilir. Yapraklara su püskürterek nemi artırmayı deneyin.
soldu|Köklerde havasızlık veya ani sıcaklık değişimi olmuş olabilir. Ortamı havalandırın.
dökül|Bitki strese girmiş olabilir. Yerini veya toprağını yakın zamanda değiştirdiyseniz bir süre adapte olmasını bekleyin.
döktü|Bitki strese girmiş olabilir. Yerini veya toprağını yakın zamanda değiştirdiyseniz bir süre adapte olmasını bekleyin.
güneş|Çoğu salon bitkisi doğrudan güneş ışığı yerine filtrelenmiş aydınlık ortamları sever.
su|Genel kural olarak toprağın üst kısmı (2-3 cm) tamamen kurudukça sulama yapmalısınız.
gübre|Bitkinize sadece ilkbahar ve yaz aylarında, büyüme döneminde gübre vermelisiniz.
saksı|Saksı değişimi genellikle ilkbahar aylarında, mevcut saksı köklerle dolduğunda yapılmalıdır.
karanlık|Işık yetersizliği bitkinizin boyunun uzamasına ama cılız kalmasına neden olur. Daha aydınlık bir yere alın.
toz|Yaprakların tozlanması bitkinin fotosentez yapmasını zorlaştırır. Nemli bir bezle nazikçe silin.
kök|Bitkinizin kökleri saksı altındaki deliklerden çıkıyorsa, bir boy büyük saksıya geçme vakti gelmiştir.
